HCHO Reading,Location,Current Date,Next Date
9.165608034246397e-05,"Deniyaya, Matara",2019-11-03,2019-11-04
9.165608034246397e-05,"Deniyaya, Matara",2019-11-04,2019-11-05
9.165608034246397e-05,"Deniyaya, Matara",2019-11-05,2019-11-06
0.00021619756174616638,"Deniyaya, Matara",2019-11-06,2019-11-07
0.00018771863781251536,"Deniyaya, Matara",2019-11-07,2019-11-08
7.553392172272982e-05,"Deniyaya, Matara",2019-11-08,2019-11-09
9.165608034246397e-05,"Deniyaya, Matara",2019-11-09,2019-11-10
9.165608034246397e-05,"Deniyaya, Matara",2019-11-10,2019-11-11
0.00022347214689943937,"Deniyaya, Matara",2019-11-11,2019-11-12
9.165608034246397e-05,"Deniyaya, Matara",2019-11-12,2019-11-13
0.00011288275060194917,"Deniyaya, Matara",2019-11-13,2019-11-14
5.815962265760409e-05,"Deniyaya, Matara",2019-11-14,2019-11-15
6.111619864362443e-05,"Deniyaya, Matara",2019-11-16,2019-11-17
0.00011135001105853608,"Deniyaya, Matara",2019-11-17,2019-11-18
8.669282646079637e-05,"Deniyaya, Matara",2019-11-18,2019-11-19
9.165608034246397e-05,"Deniyaya, Matara",2019-11-19,2019-11-20
6.167588874374884e-05,"Deniyaya, Matara",2019-11-20,2019-11-21
8.329670267707673e-05,"Deniyaya, Matara",2019-11-21,2019-11-22
0.00015874444278409611,"Deniyaya, Matara",2019-11-22,2019-11-23
9.165608034246397e-05,"Deniyaya, Matara",2019-11-26,2019-11-27
8.082623468883076e-05,"Deniyaya, Matara",2019-11-27,2019-11-28
9.165608034246397e-05,"Deniyaya, Matara",2019-11-28,2019-11-29
0.00010399009978131602,"Deniyaya, Matara",2019-11-29,2019-11-30
9.165608034246397e-05,"Deniyaya, Matara",2019-11-30,2019-12-01
0.00015457325207535177,"Deniyaya, Matara",2019-12-01,2019-12-02
0.00022909828230126424,"Deniyaya, Matara",2019-12-02,2019-12-03
9.165608034246397e-05,"Deniyaya, Matara",2019-12-03,2019-12-04
9.165608034246397e-05,"Deniyaya, Matara",2019-12-04,2019-12-05
9.165608034246397e-05,"Deniyaya, Matara",2019-12-05,2019-12-06
6.279132131055396e-05,"Deniyaya, Matara",2019-12-06,2019-12-07
9.165608034246397e-05,"Deniyaya, Matara",2019-12-07,2019-12-08
9.165608034246397e-05,"Deniyaya, Matara",2019-12-08,2019-12-09
9.165608034246397e-05,"Deniyaya, Matara",2019-12-09,2019-12-10
3.668150748126209e-05,"Deniyaya, Matara",2019-12-10,2019-12-11
9.165608034246397e-05,"Deniyaya, Matara",2019-12-11,2019-12-12
9.165608034246397e-05,"Deniyaya, Matara",2019-12-12,2019-12-13
4.62315488663879e-06,"Deniyaya, Matara",2019-12-13,2019-12-14
0.00014863739624261673,"Deniyaya, Matara",2019-12-14,2019-12-15
0.00012271657629438364,"Deniyaya, Matara",2019-12-15,2019-12-16
0.00012292128007053424,"Deniyaya, Matara",2019-12-16,2019-12-17
9.165608034246397e-05,"Deniyaya, Matara",2019-12-17,2019-12-18
0.0001877353206509724,"Deniyaya, Matara",2019-12-18,2019-12-19
5.3307634495522295e-05,"Deniyaya, Matara",2019-12-19,2019-12-20
9.165608034246397e-05,"Deniyaya, Matara",2019-12-20,2019-12-21
3.737863824244148e-05,"Deniyaya, Matara",2019-12-21,2019-12-22
9.165608034246397e-05,"Deniyaya, Matara",2019-12-22,2019-12-23
8.239901598712222e-05,"Deniyaya, Matara",2019-12-23,2019-12-24
0.00011758954233978196,"Deniyaya, Matara",2019-12-24,2019-12-25
6.322827935514696e-05,"Deniyaya, Matara",2019-12-25,2019-12-26
0.0002801681133864533,"Deniyaya, Matara",2019-12-26,2019-12-27
2.5080770957698957e-05,"Deniyaya, Matara",2019-12-27,2019-12-28
9.165608034246397e-05,"Deniyaya, Matara",2019-12-28,2019-12-29
0.00011251487741314138,"Deniyaya, Matara",2019-12-29,2019-12-30
5.958212666452036e-05,"Deniyaya, Matara",2019-12-30,2019-12-31
3.443339602476807e-05,"Deniyaya, Matara",2019-12-31,2020-01-01
5.582477187917614e-05,"Deniyaya, Matara",2020-01-01,2020-01-02
4.323339089751243e-05,"Deniyaya, Matara",2020-01-02,2020-01-03
0.00013483032208054594,"Deniyaya, Matara",2020-01-03,2020-01-04
7.345198097368317e-05,"Deniyaya, Matara",2020-01-04,2020-01-05
2.321362493548122e-05,"Deniyaya, Matara",2020-01-05,2020-01-06
5.4160664857132805e-05,"Deniyaya, Matara",2020-01-06,2020-01-07
8.050683431295243e-05,"Deniyaya, Matara",2020-01-07,2020-01-08
4.716895767844027e-05,"Deniyaya, Matara",2020-01-08,2020-01-09
0.0001577781896422848,"Deniyaya, Matara",2020-01-09,2020-01-10
0.00017934788696229682,"Deniyaya, Matara",2020-01-10,2020-01-11
9.41050512969195e-05,"Deniyaya, Matara",2020-01-11,2020-01-12
9.165608034246397e-05,"Deniyaya, Matara",2020-01-12,2020-01-13
0.00011527629976626486,"Deniyaya, Matara",2020-01-13,2020-01-14
9.165608034246397e-05,"Deniyaya, Matara",2020-01-14,2020-01-15
3.0344823697539575e-05,"Deniyaya, Matara",2020-01-15,2020-01-16
7.061637462092352e-06,"Deniyaya, Matara",2020-01-16,2020-01-17
9.165608034246397e-05,"Deniyaya, Matara",2020-01-17,2020-01-18
0.0002380160347689234,"Deniyaya, Matara",2020-01-19,2020-01-20
8.649788570140081e-05,"Deniyaya, Matara",2020-01-20,2020-01-21
5.912812620378361e-05,"Deniyaya, Matara",2020-01-21,2020-01-22
0.00011270591494394466,"Deniyaya, Matara",2020-01-22,2020-01-23
4.176835190634863e-05,"Deniyaya, Matara",2020-01-23,2020-01-24
0.00010655853731799395,"Deniyaya, Matara",2020-01-24,2020-01-25
0.00016613747209268744,"Deniyaya, Matara",2020-01-25,2020-01-26
7.276855495625505e-05,"Deniyaya, Matara",2020-01-26,2020-01-27
9.165608034246397e-05,"Deniyaya, Matara",2020-01-27,2020-01-28
6.942144958326742e-05,"Deniyaya, Matara",2020-01-28,2020-01-29
0.00018879682346369475,"Deniyaya, Matara",2020-01-29,2020-01-30
7.285972572016812e-05,"Deniyaya, Matara",2020-01-30,2020-01-31
0.00025290245990174033,"Deniyaya, Matara",2020-01-31,2020-02-01
0.00014151278390083934,"Deniyaya, Matara",2020-02-01,2020-02-02
7.155292117745567e-05,"Deniyaya, Matara",2020-02-02,2020-02-03
3.0342748686962295e-06,"Deniyaya, Matara",2020-02-03,2020-02-04
9.165608034246397e-05,"Deniyaya, Matara",2020-02-04,2020-02-05
9.165608034246397e-05,"Deniyaya, Matara",2020-02-05,2020-02-06
0.00021288896288198467,"Deniyaya, Matara",2020-02-06,2020-02-07
9.207190091336028e-05,"Deniyaya, Matara",2020-02-07,2020-02-08
